Term	C1 freq	C2 freq	Wordnet
evasions	0	207	True
zelensky	0	218	False
debate/discuss/argue	0	54	False
wiki_post_deletion	0	103	False
karens	0	90	True
r/footjobs	0	140	False
r/prettylittlecumsluts	0	140	False
r/joymii	0	140	False
universalscammerlist.com/search.php	0	62	False
aewdynamite	0	186	False
edelgard	0	91	False
superm	0	124	False
to=/r/curvy	0	61	False
swsh	0	76	False
burisma	0	50	False
vindman	0	51	False
r/repostsleuthbot	0	78	False
to=repostsleuthbot	0	206	False
subject=false	0	206	False
meme_template	0	203	False
to=/r/nudes	0	67	False
utm_name=iossmf	0	119	False
stonks	0	55	False
r/specialsnowflake	0	57	False
to=/r/makenewfriendshere	0	103	False
hololive	0	61	False
yanggang	0	62	False
saliba	0	56	False
uniswap	0	107	False
r/xart	0	123	False
github.com/cleverraven/cataclysm-dda/commits	0	103	False
to=/r/nude_selfie	0	64	False
covid	0	14788	False
to=kryptonh	0	276	False
discord.gg/tdzgcfc	0	53	False
soleimani	0	56	False
ko-fi.com/getvideo	0	263	False
post_id	0	195	False
coronavirus	0	2154	False
weverse	0	287	False
valorant	0	405	False
fischl	0	78	False
làm	0	51	False
toàn	0	58	False
hcq	0	64	False
tubbo	0	236	False
qiqi	0	63	False
kaeya	0	125	False
diluc	0	175	False
r/ballsucking	0	113	False
r/firstinsertion	0	113	False
r/cumvids	0	113	False
r/owym	0	113	False
r/polls	0	62	False
artsakh	0	52	False
genshin	0	603	False
repostsleuth.com	0	143	False
samesub=false	0	107	False
filteronlyolder=true	0	143	False
memefilter=true	0	56	False
anemo	0	58	False
keqing	0	72	False
zhongli	0	221	False
to=/r/cock	0	136	False
to=/r/onlyfanspromotions	0	148	False
childe	0	190	False
redejobs.com/job.php	0	65	False
vtuber	0	446	False
memefilter=false	0	87	False
covidiots	0	67	False
sunak	0	193	False
to=/r/naughtychicks	0	95	False
xingqiu	0	51	False
unus	0	75	False
acnh	0	154	False
spam/reposts/advertising	0	50	False
savevideo	0	247	False
subject=content	0	255	False
to=/r/onlyfans_promo	0	55	False
pltr	0	55	False
vtubers	0	180	False
pre-pandemic	0	61	False
vaush	0	62	False
plandemic	0	66	False
to=/r/pokemongoraids	0	60	False
beidou	0	60	False
to=/r/relationship_advice	0	81	False
to=/r/onlyfanschicks	0	59	False
chatgpt	0	127	False
pre-covid	0	96	False
fncs	0	85	False
bridgerton	0	92	False
tokenomics	0	112	False
music.youtube.com/watch	0	74	False
andor	0	60	False
to=/r/dadwouldbeproud	0	62	False
hydroxychloroquine	0	93	True
cravity	0	84	False
hbomax	0	163	False
chauvin	0	91	False
breonna	0	89	False
chromatica	0	51	False
choeaedol	0	55	False
sapnap	0	230	False
heeseung	0	97	False
tannies	0	76	False
soop	0	61	False
r/onlyfans_promo	0	88	False
r/onlyfanspromotion	0	72	False
copium	0	58	False
kishu	0	57	False
ganyu	0	115	False
fansly	0	278	False
vaxed	0	138	False
dzr	0	74	False
sexyplus	0	54	False
endwalker	0	58	False
moass	0	78	True
opensea	0	361	False
safemoon	0	217	False
pancakeswap	0	167	False
swapp	0	71	False
r/nsfwhardfuck	0	66	False
r/itsporn	0	61	False
filterdeadmatches=false	0	132	False
avax	0	135	False
busd	0	83	False
hybe	0	118	False
nftgame	0	87	False
boebert	0	107	False
axie	0	116	False
to=/r/amihot	0	57	False
subject=report	0	52	False
enhypen	0	743	False
memecoin	0	80	False
edtwt	0	63	False
algorand	0	78	False
r/onlyfansbigbeauties|an	0	270	False
r/onlyfanslifestyle|an	0	227	False
to=/r/shitposting	0	109	False
nwh	0	60	False
aespa	0	168	False
ranboo	0	349	False
wandavision	0	172	False
dejoy	0	52	False
mcyt	0	93	False
jungwon	0	90	False
caribbeanwhere	0	598	False
heslop	0	1036	False
offwhere	0	437	False
binancesmartchain	0	159	False
gqp	0	191	False
cix	0	53	False
choicei	0	94	False
brainlabz	0	86	False
whosfan	0	63	False
project.the	0	57	False
tommyinnit	0	88	False
to=/r/slut	0	94	False
r/onlyfansnevernude|an	0	238	False
onlyfans/fansly/admireme/loyalfans	0	218	False
linktree	0	237	False
allmylinks	0	219	False
pedri	0	57	False
r/backview	0	58	False
monkeypox	0	65	False
statmuse	0	59	False
fetterman	0	85	False
gamefi	0	211	False
engenes	0	178	False
fjb	0	63	False
playtoearn	0	137	False
tejran	0	212	False
zelenskyy	0	65	False
dsmp	0	159	False
nftgiveaways	0	98	False
lunc	0	80	False
babydoge	0	67	False
superrare	0	65	False
drsjaishankar	0	125	False
kendrickperkins	0	98	False
dnpthree	0	52	False
readingcommunity	0	55	False
btsv	0	70	False
drrpnishank	0	250	False
tpostmillennial	0	93	False
edutwitter	0	66	False
official_oneus	0	57	False
stufflistings	0	69	False
truenorthcentre	0	60	False
philhay	0	62	False
mgmavote	0	58	False
tacha	0	191	False
loveislandusa	0	52	False
brgridiron	0	113	False
adoptmetrades	0	71	False
mahuamoitra	0	51	False
nickadamsinusa	0	290	False
vonderleyen	0	147	False
conncfc	0	55	False
