	Word	Judgement	Example	Prediction
0	kids		come on over everyone . i 'll watch all of you kids .	children collectively
1	kids		do you know how many trans kids attempt suicide because they ca n't live as their true selves ?	a transsexual person
2	kids		shoe shopping with the kids may just have killed any patience i had left	a group of children
3	kids		user holmfirth x11 hasnt turned up yet whole lot of kids guna be late to college second time its missed	children considered as a group
4	kids		i 'm glad everything has a camera on it now i 'll be able to show my kids how my life was growing up my marriage and their early childhood .	the children of a person or animal
5	kids		as kids you usually confess a few obvious things it always felt a bit performative to us we 'd compare sins haha i was disobedient i told a lie i did n't share with my siblings bla bla .	a group of children
6	kids		honestly a great deal considering how much the set goes for online and it 'll look fucking sick with black pants and a turtleneck for prom or whatever u kids do .	children regarded collectively
7	kids		you wo n't see any rich kids wasting their youth for pennies .	young people collectively ; children
8	kids		for example we both thought marijuana should be legal but we 'd never try it we both never wanted kids and we both had very little experience read non existent for me a little bit for her in relationships .	children considered as a group
9	kids		im looking for insight on what promos i could do to get the college aged or high school kids to show up more .	a group of young people attending college or high school
10	kids		user maybe it 's me but all these attack towards these kids only scream how terrified the gop is of these voices for change .	a group of young people
11	kids		i still love dylan reider and austin gyllette kids who would rather stick to companies that support skateboarding as a life style .	a group of young people
12	kids		meanwhile my spoiled cousins can literally delete my ultra moon data because they wanted their own profile and my parents say they 're little kids they 're 9 and 12 while i 'm 14 !	a child or young person
13	kids		user nojumper these no jumper kids are the dumbest ever dr dre got 1 hit ?	a stupid or ineffectual person
14	kids		so i think we can believe him during this court deposition when he admits that they 've experimented without even a placebo on mentally handicapped kids people under colonial rule and babies of mothers in prison !	young people ; children
15	kids		her kids of course where being little terrors on their own as they plugged all the men 's toilets and of course men who went in just added so i had to muck out the crapper .	a girl or young woman
16	kids		the supreme court decided this nearly 150 years ago and yet for some reason they keep teaching their kids that the state can just up and go whenever they want .	children considered as a group
17	kids		i 'm jealous that kids are going to be able to watch a really good version in english lessons	young people considered as a group
18	kids		going in the dunk tank at work and letting the kids take shots at hitting the target was probably the scariest thing ever	a group of young people
19	kids		as children we learned further than just the typical at a primal primary subconscious level delving far into unlocking instincts reaching portions of the human animal brain otherwise not necessary for typical kids of our day and age and therefore not used or pulled foreword to live the rest of your life building from and on .	children considered as a group
20	kids		gamescom trivia the fortnite booth has a huge parkour and climbing area for their target audience kids to play on in all fortnite theme	a group of children
21	kids		sex does n't sleep when the ligts are off . kids are still depressed when you dress them up .	children collectively
22	kids		i 've seen these kids in helicopters jets as their rides .. this guy asked a girl out by giving her a pair of loubs .. like wth ?	a rough or uncouth person
23	kids		and when public schooling actually starts ensuring all kids get a good education let me know .	children collectively
24	kids		you can bet they are either rich kids and still on the tit and still living at home with mommy or they just did n't get enough attention after they left h	a group of children
25	population		there were conspiracies saying that they did it to make our 90 twig population into even more of a twig make us lose weight even though most of us are in good physical health .	a species or group of organisms living together
26	population		for context the population of iceland in real life is 323,000 .	the total number of inhabitants ( an area )
27	population		user user the labour government under the war criminal started mass immigration with the idea of a population replacement programme .	the state of being populated
28	population		i think he 's saying gay marriage would be an even more remote prospect if we had a significant muslim population .	the number of people living in a particular place
29	population		plus large swaths of europe do n't have high population densities .	the proportion of inhabitants in a given area
30	population		kateportercbc given the growth in the low income population over the last 5 years why is n't the 2106 budget reflective of this growth ?	the total number or extent of a particular thing
31	population		at least not in the same way the 360,000 people he could employ over half the population of the entire state of wyoming for a year at my level of pay with enough left to eat fine quisine and live in hotels the rest of his life .	the total number or amount of a particular thing
32	population		do you know what percentage of the us population have landlines ?	most people living in a particular place
33	population		we have enough problems created due to population as it is	the condition of being populated
34	population		but limiting the views of an entire population to that of a section is absurd .	the people inhabiting a particular area
35	population		it 's population has more or less remained stable for the last 172 years .	the extent to which an organism is or has been populated
36	population		thereby creating a healthier workforce and a more relaxed population which will boost the economy .	the inhabitants of a particular country or region
37	population		they may have no real distance in the spiritual realm but they still have the other two realms to think about and being near population centres could be useful .	a place where people live or are represented
38	population		or is it the belief of the population that he would espace from here too ?	the people living in a particular place
39	population		approximately 25.7 of the voting age population chose this guy .	the number of people joining a particular group or body
40	population		these occasional pictures and stories did not paint a bright light of the situation raising calls amongst the population of the amc for the council to step in and serve as a proper government to restore a semblance of order .	all the members of a particular state or community
